TestData/Chemistry/C1CC11308A.txt - 1 - Physics  | Chemistry | Physics
TestData/Chemistry/chem2.txt - 7 - Machine Learning  | Chemistry | Machine Learning
TestData/Chemistry/chem2.txt - Artificial Intelligence | Chemistry | Artificial Intelligence
TestData/Chemistry/1-s2.0-S0013468610000964-main.txt - 1 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/1-s2.0-S0013468610000964-main.txt - 3 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/1-s2.0-S0013468610000964-main.txt - 5 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/1-s2.0-S0013468610000964-main.txt - 7 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/1-s2.0-S0013468610000964-main.txt - ChemistryBiology | Chemistry | ChemistryBiology
TestData/Chemistry/chem1.txt~ - 1 - Chemistry  | Chemistry | ChemistryTestData/Chemistry/chem1.txt~ - 3 - Chemistry  | Chemistry | Chemistry
TestData/Chemistry/chem1.txt~ - 5 - Chemistry  | Chemistry | ChemistryTestData/Chemistry/chem1.txt~ - 7 - Chemistry  | Chemistry | Chemistry
TestData/Chemistry/chem1.txt~ - Machine Learning | Chemistry | Machine Learning
TestData/Chemistry/s13065-015-0131-2.txt - 1 - Chemistry  | Chemistry | Chemistry
TestData/Chemistry/s13065-015-0131-2.txt - 3 - Chemistry  | Chemistry | Chemistry
TestData/Chemistry/s13065-015-0131-2.txt - 5 - Chemistry  | Chemistry | Chemistry
TestData/Chemistry/s13065-015-0131-2.txt - 7 - Chemistry  | Chemistry | Chemistry
TestData/Chemistry/s13065-015-0131-2.txt - Machine Learning | Chemistry | Machine Learning
TestData/Chemistry/chem1.txt - 1 - Chemistry  | Chemistry | Chemistry
TestData/Chemistry/chem1.txt - 3 - Chemistry  | Chemistry | Chemistry
TestData/Chemistry/chem1.txt - 5 - Chemistry  | Chemistry | Chemistry
TestData/Chemistry/chem1.txt - 7 - Chemistry  | Chemistry | Chemistry
TestData/Chemistry/chem1.txt - Computer Science | Chemistry | Computer Science
TestData/Chemistry/chem2.txt~ - 1 - Artificial Intelligence  | Chemistry | Artificial Intelligence
TestData/Chemistry/chem2.txt~ - 3 - Artificial Intelligence  | Chemistry | Artificial Intelligence
TestData/Chemistry/chem2.txt~ - 5 - Artificial Intelligence  | Chemistry | Artificial Intelligence
TestData/Chemistry/chem2.txt~ - 7 - Artificial Intelligence  | Chemistry | Artificial Intelligence
TestData/Chemistry/chem2.txt~ - Machine Learning | Chemistry | Machine Learning
TestData/Chemistry/1-s2.0-S0013468610002598-main.txt - 1 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/1-s2.0-S0013468610002598-main.txt - 3 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/1-s2.0-S0013468610002598-main.txt - 5 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/1-s2.0-S0013468610002598-main.txt - 7 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/1-s2.0-S0013468610002598-main.txt - ChemistryBiology | Chemistry | ChemistryBiology
TestData/Chemistry/ol1023135.txt - 1 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/ol1023135.txt - 3 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/ol1023135.txt - 5 - ChemistryBiology  | Chemistry | ChemistryBiology
TestData/Chemistry/ol1023135.txt - 7 - Physics  | Chemistry | Physics
TestData/Chemistry/ol1023135.txt - ChemistryBiology | Chemistry | ChemistryBiology
TestData/Robotics/D312.txt - 1 - Machine Learning  | Robotics | Machine Learning
TestData/Robotics/D312.txt - 3 - ChemistryBiology  | Robotics | ChemistryBiology
TestData/Robotics/D312.txt - 5 - Physics  | Robotics | Physics
TestData/Robotics/D312.txt - 7 - Physics  | Robotics | Physics
TestData/Robotics/D312.txt - Machine Learning | Robotics | Machine Learning
TestData/Robotics/CMF_PYO_ICDL2013.txt - 1 - Robotics  | Robotics | Robotics
TestData/Robotics/CMF_PYO_ICDL2013.txt - 3 - Robotics  | Robotics | Robotics
TestData/Robotics/CMF_PYO_ICDL2013.txt - 5 - Robotics  | Robotics | Robotics
TestData/Robotics/CMF_PYO_ICDL2013.txt - 7 - Robotics  | Robotics | Robotics
TestData/Robotics/CMF_PYO_ICDL2013.txt - Robotics | Robotics | Robotics
TestData/Robotics/1373954244317.txt - 1 - Robotics  | Robotics | Robotics
TestData/Robotics/1373954244317.txt - 3 - Robotics  | Robotics | Robotics
TestData/Robotics/1373954244317.txt - 5 - Artificial Intelligence  | Robotics | Artificial Intelligence
TestData/Robotics/1373954244317.txt - 7 - Artificial Intelligence  | Robotics | Artificial Intelligence
TestData/Robotics/1373954244317.txt - Computer Science | Robotics | Computer Science
TestData/Robotics/InTech-Problems_of_sport_biomechanics_and_robotics.txt - 1 - Chemistry  | Robotics | Chemistry
TestData/Robotics/InTech-Problems_of_sport_biomechanics_and_robotics.txt - 3 - Chemistry  | Robotics | Chemistry
TestData/Robotics/InTech-Problems_of_sport_biomechanics_and_robotics.txt - 5 - Chemistry  | Robotics | Chemistry
TestData/Robotics/InTech-Problems_of_sport_biomechanics_and_robotics.txt - 7 - Chemistry  | Robotics | Chemistry
TestData/Robotics/InTech-Problems_of_sport_biomechanics_and_robotics.txt - Artificial Intelligence | Robotics | Artificial Intelligence
TestData/Robotics/L_1019_853.1.txt - 1 - Artificial Intelligence  | Robotics | Artificial Intelligence
TestData/Robotics/L_1019_853.1.txt - 3 - Computer Science  | Robotics | Computer Science
TestData/Robotics/L_1019_853.1.txt - 5 - Computer Science  | Robotics | Computer Science
TestData/Robotics/L_1019_853.1.txt - 7 - Computer Science  | Robotics | Computer Science
TestData/Robotics/L_1019_853.1.txt - Artificial Intelligence | Robotics | Artificial Intelligence
TestData/Robotics/LASA_practicalRobot.txt - 1 - Robotics  | Robotics | Robotics
TestData/Robotics/LASA_practicalRobot.txt - 3 - Robotics  | Robotics | Robotics
TestData/Robotics/LASA_practicalRobot.txt - 5 - Robotics  | Robotics | Robotics
TestData/Robotics/LASA_practicalRobot.txt - 7 - Robotics  | Robotics | Robotics
TestData/Robotics/LASA_practicalRobot.txt - Robotics | Robotics | Robotics
TestData/Robotics/EECS-2013-5.txt - 1 - Machine Learning  | Robotics | Machine Learning
TestData/Robotics/EECS-2013-5.txt - 3 - Robotics  | Robotics | Robotics
TestData/Robotics/EECS-2013-5.txt - 5 - Robotics  | Robotics | Robotics
TestData/Robotics/EECS-2013-5.txt - 7 - Robotics  | Robotics | Robotics
TestData/Robotics/EECS-2013-5.txt - Computer Science | Robotics | Computer Science
TestData/Robotics/robomec13.txt - 1 - Computer Science  | Robotics | Computer Science
TestData/Robotics/robomec13.txt - 3 - Computer Science  | Robotics | Computer Science
TestData/Robotics/robomec13.txt - 5 - Computer Science  | Robotics | Computer Science
TestData/Robotics/robomec13.txt - 7 - Computer Science  | Robotics | Computer Science
TestData/Robotics/robomec13.txt - Machine Learning | Robotics | Machine Learning
TestData/Robotics/McCarty, The uncanny valley.txt - 1 - Artificial Intelligence  | Robotics | Artificial Intelligence
TestData/Robotics/McCarty, The uncanny valley.txt - 3 - Artificial Intelligence  | Robotics | Artificial Intelligence
TestData/Robotics/McCarty, The uncanny valley.txt - 5 - Artificial Intelligence  | Robotics | Artificial Intelligence
TestData/Robotics/McCarty, The uncanny valley.txt - 7 - Artificial Intelligence  | Robotics | Artificial Intelligence
TestData/Robotics/McCarty, The uncanny valley.txt - Artificial Intelligence | Robotics | Artificial Intelligence
TestData/Robotics/MolloyShehu_BMCStructBiol2013.txt - 1 - Machine Learning  | Robotics | Machine Learning
TestData/Robotics/MolloyShehu_BMCStructBiol2013.txt - 3 - Robotics  | Robotics | Robotics
TestData/Robotics/MolloyShehu_BMCStructBiol2013.txt - 5 - Robotics  | Robotics | Robotics
TestData/Robotics/MolloyShehu_BMCStructBiol2013.txt - 7 - Robotics  | Robotics | Robotics
TestData/Robotics/MolloyShehu_BMCStructBiol2013.txt - Computer Science | Robotics | Computer Science
TestData/Robotics/IJEE1397.txt - 1 - Robotics  | Robotics | Robotics
TestData/Robotics/IJEE1397.txt - 3 - Robotics  | Robotics | Robotics
TestData/Robotics/IJEE1397.txt - 5 - Robotics  | Robotics | Robotics
TestData/Robotics/IJEE1397.txt - 7 - Robotics  | Robotics | Robotics
TestData/Robotics/IJEE1397.txt - Artificial Intelligence | Robotics | Artificial Intelligence
TestData/Robotics/IridiaTr2013-008r001.txt - 1 - Robotics  | Robotics | Robotics
TestData/Robotics/IridiaTr2013-008r001.txt - 3 - Robotics  | Robotics | Robotics
TestData/Robotics/IridiaTr2013-008r001.txt - 5 - Robotics  | Robotics | Robotics
TestData/Robotics/IridiaTr2013-008r001.txt - 7 - Robotics  | Robotics | Robotics
TestData/Robotics/IridiaTr2013-008r001.txt - Artificial Intelligence | Robotics | Artificial Intelligence
TestData/Robotics/ferrante_etal_gecco_2013.txt - 1 - Machine Learning  | Robotics | Machine Learning
TestData/Robotics/ferrante_etal_gecco_2013.txt - 3 - Robotics  | Robotics | Robotics
TestData/Robotics/ferrante_etal_gecco_2013.txt - 5 - Robotics  | Robotics | Robotics
TestData/Robotics/ferrante_etal_gecco_2013.txt - 7 - Robotics  | Robotics | Robotics
TestData/Robotics/ferrante_etal_gecco_2013.txt - Machine Learning | Robotics | Machine Learning
TestData/Physics/iop2.txt - 1 - Physics  | Physics | Physics
TestData/Physics/iop2.txt - 3 - Physics  | Physics | Physics
TestData/Physics/iop2.txt - 5 - Physics  | Physics | Physics
TestData/Physics/iop2.txt - 7 - Physics  | Physics | Physics
TestData/Physics/iop2.txt - Physics | Physics | Physics
TestData/Physics/iop1.txt - 1 - Physics  | Physics | Physics
TestData/Physics/iop1.txt - 3 - Physics  | Physics | Physics
TestData/Physics/iop1.txt - 5 - Physics  | Physics | Physics
TestData/Physics/iop1.txt - 7 - Physics  | Physics | Physics
TestData/Physics/iop1.txt - Physics | Physics | Physics
TestData/Physics/05590371.txt - 1 - Physics  | Physics | Physics
TestData/Physics/05590371.txt - 3 - Physics  | Physics | Physics
TestData/Physics/05590371.txt - 5 - Physics  | Physics | Physics
TestData/Physics/05590371.txt - 7 - Physics  | Physics | Physics
TestData/Physics/05590371.txt - Physics | Physics | Physics
TestData/Physics/iop3.txt - 1 - Physics  | Physics | Physics
TestData/Physics/iop3.txt - 3 - Physics  | Physics | Physics
TestData/Physics/iop3.txt - 5 - Physics  | Physics | Physics
TestData/Physics/iop3.txt - 7 - Physics  | Physics | Physics
TestData/Physics/iop3.txt - Physics | Physics | Physics
TestData/Physics/06031965.txt - 1 - Physics  | Physics | Physics
TestData/Physics/06031965.txt - 3 - Physics  | Physics | Physics
TestData/Physics/06031965.txt - 5 - Physics  | Physics | Physics
TestData/Physics/06031965.txt - 7 - Physics  | Physics | Physics
TestData/Physics/06031965.txt - Physics | Physics | Physics
TestData/Physics/iop5.txt - 1 - Physics  | Physics | Physics
TestData/Physics/iop5.txt - 3 - Physics  | Physics | Physics
TestData/Physics/iop5.txt - 5 - Physics  | Physics | Physics
TestData/Physics/iop5.txt - 7 - Physics  | Physics | Physics
TestData/Physics/iop5.txt - Physics | Physics | Physics
TestData/Physics/1509.03763v1.txt - 1 - Physics  | Physics | Physics
TestData/Physics/1509.03763v1.txt - 3 - Physics  | Physics | Physics
TestData/Physics/1509.03763v1.txt - 5 - Physics  | Physics | Physics
TestData/Physics/1509.03763v1.txt - 7 - Physics  | Physics | Physics
TestData/Physics/1509.03763v1.txt - Physics | Physics | Physics
TestData/Physics/iop4.txt - 1 - Physics  | Physics | Physics
TestData/Physics/iop4.txt - 3 - Physics  | Physics | Physics
TestData/Physics/iop4.txt - 5 - Physics  | Physics | Physics
TestData/Physics/iop4.txt - 7 - Physics  | Physics | Physics
TestData/Physics/iop4.txt - Physics | Physics | Physics
TestData/Physics/la9047227.txt - 1 - ChemistryBiology  | Physics | ChemistryBiology
TestData/Physics/la9047227.txt - 3 - ChemistryBiology  | Physics | ChemistryBiology
TestData/Physics/la9047227.txt - 5 - ChemistryBiology  | Physics | ChemistryBiology
TestData/Physics/la9047227.txt - 7 - ChemistryBiology  | Physics | ChemistryBiology
TestData/Physics/la9047227.txt - Physics | Physics | Physics
TestData/Physics/05399410.txt - 1 - Physics  | Physics | Physics
TestData/Physics/05399410.txt - 3 - Physics  | Physics | Physics
TestData/Physics/05399410.txt - 5 - Physics  | Physics | Physics
TestData/Physics/05399410.txt - 7 - Physics  | Physics | Physics
TestData/Physics/05399410.txt - Physics | Physics | Physics
TestData/Physics/12030EXR.txt - 1 - Artificial Intelligence  | Physics | Artificial Intelligence
TestData/Physics/12030EXR.txt - 3 - Artificial Intelligence  | Physics | Artificial Intelligence
TestData/Physics/12030EXR.txt - 5 - Artificial Intelligence  | Physics | Artificial Intelligence
TestData/Physics/12030EXR.txt - 7 - Artificial Intelligence  | Physics | Artificial Intelligence
TestData/Physics/12030EXR.txt - Artificial Intelligence | Physics | Artificial Intelligence
TestData/Mathematics/3765-a-unified-framework-for-high-dimensional-analysis-of-m-estimators-with-decomposable-regularizers.txt - 1 - Machine Learning  | Mathematics | Machine Learning
TestData/Mathematics/3765-a-unified-framework-for-high-dimensional-analysis-of-m-estimators-with-decomposable-regularizers.txt - 3 - Machine Learning  | Mathematics | Machine Learning
TestData/Mathematics/3765-a-unified-framework-for-high-dimensional-analysis-of-m-estimators-with-decomposable-regularizers.txt - 5 - Machine Learning  | Mathematics | Machine Learning
TestData/Mathematics/3765-a-unified-framework-for-high-dimensional-analysis-of-m-estimators-with-decomposable-regularizers.txt - 7 - Machine Learning  | Mathematics | Machine Learning
TestData/Mathematics/3765-a-unified-framework-for-high-dimensional-analysis-of-m-estimators-with-decomposable-regularizers.txt - Machine Learning | Mathematics | Machine Learning
TestData/Mathematics/1-s2.0-S0095895609000951-main.txt - 1 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1-s2.0-S0095895609000951-main.txt - 3 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1-s2.0-S0095895609000951-main.txt - 5 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1-s2.0-S0095895609000951-main.txt - 7 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1-s2.0-S0095895609000951-main.txt - Mathematics | Mathematics | Mathematics
TestData/Mathematics/1-s2.0-S009589561000064X-main.txt - 1 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1-s2.0-S009589561000064X-main.txt - 3 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1-s2.0-S009589561000064X-main.txt - 5 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1-s2.0-S009589561000064X-main.txt - 7 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1-s2.0-S009589561000064X-main.txt - Mathematics | Mathematics | Mathematics
TestData/Mathematics/1-s2.0-S0095895611000712-main.txt - 1 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1-s2.0-S0095895611000712-main.txt - 3 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1-s2.0-S0095895611000712-main.txt - 5 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1-s2.0-S0095895611000712-main.txt - 7 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1-s2.0-S0095895611000712-main.txt - Mathematics | Mathematics | Mathematics
TestData/Mathematics/1-s2.0-S0095895612000822-main.txt - 1 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1-s2.0-S0095895612000822-main.txt - 3 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1-s2.0-S0095895612000822-main.txt - 5 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1-s2.0-S0095895612000822-main.txt - 7 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1-s2.0-S0095895612000822-main.txt - Mathematics | Mathematics | Mathematics
TestData/Mathematics/1311.4600v2.txt - 1 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1311.4600v2.txt - 3 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1311.4600v2.txt - 5 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1311.4600v2.txt - 7 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1311.4600v2.txt - Mathematics | Mathematics | Mathematics
TestData/Mathematics/euclid.aos.1278861454.txt - 1 - Machine Learning  | Mathematics | Machine Learning
TestData/Mathematics/euclid.aos.1278861454.txt - 3 - Machine Learning  | Mathematics | Machine Learning
TestData/Mathematics/euclid.aos.1278861454.txt - 5 - Machine Learning  | Mathematics | Machine Learning
TestData/Mathematics/euclid.aos.1278861454.txt - 7 - Machine Learning  | Mathematics | Machine Learning
TestData/Mathematics/euclid.aos.1278861454.txt - Machine Learning | Mathematics | Machine Learning
TestData/Mathematics/art%3A10.1134%2FS0081543811080128.txt - 1 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/art%3A10.1134%2FS0081543811080128.txt - 3 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/art%3A10.1134%2FS0081543811080128.txt - 5 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/art%3A10.1134%2FS0081543811080128.txt - 7 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/art%3A10.1134%2FS0081543811080128.txt - Mathematics | Mathematics | Mathematics
TestData/Mathematics/1012.1786v2.txt - 1 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1012.1786v2.txt - 3 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1012.1786v2.txt - 5 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1012.1786v2.txt - 7 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1012.1786v2.txt - Mathematics | Mathematics | Mathematics
TestData/Mathematics/fulltext.txt - 1 - Robotics  | Mathematics | Robotics
TestData/Mathematics/fulltext.txt - 3 - Robotics  | Mathematics | Robotics
TestData/Mathematics/fulltext.txt - 5 - Robotics  | Mathematics | Robotics
TestData/Mathematics/fulltext.txt - 7 - Robotics  | Mathematics | Robotics
TestData/Mathematics/fulltext.txt - Robotics | Mathematics | Robotics
TestData/Mathematics/1112.0040v4.txt - 1 - PhysicsMathematics  | Mathematics | PhysicsMathematics
TestData/Mathematics/1112.0040v4.txt - 3 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1112.0040v4.txt - 5 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1112.0040v4.txt - 7 - Mathematics  | Mathematics | Mathematics
TestData/Mathematics/1112.0040v4.txt - Mathematics | Mathematics | Mathematics
TestData/Computer Science/L_1108_938.8.txt - 1 - Artificial Intelligence  | Computer Science | Artificial Intelligence
TestData/Computer Science/L_1108_938.8.txt - 3 - Artificial Intelligence  | Computer Science | Artificial Intelligence
TestData/Computer Science/L_1108_938.8.txt - 5 - Computer Science  | Computer Science | Computer Science
TestData/Computer Science/L_1108_938.8.txt - 7 - Computer Science  | Computer Science | Computer Science
TestData/Computer Science/L_1108_938.8.txt - Artificial Intelligence | Computer Science | Artificial Intelligence
TestData/Computer Science/jcssp.2015.730.737.txt - 1 - Artificial Intelligence  | Computer Science | Artificial Intelligence
TestData/Computer Science/jcssp.2015.730.737.txt - 3 - Computer Science  | Computer Science | Computer Science
TestData/Computer Science/jcssp.2015.730.737.txt - 5 - Computer Science  | Computer Science | Computer Science
TestData/Computer Science/jcssp.2015.730.737.txt - 7 - Computer Science  | Computer Science | Computer Science
TestData/Computer Science/jcssp.2015.730.737.txt - Artificial Intelligence | Computer Science | Artificial Intelligence
TestData/Computer Science/L_1513_957.15.txt - 1 - Computer Science  | Computer Science | Computer Science
TestData/Computer Science/L_1513_957.15.txt - 3 - Computer Science  | Computer Science | Computer Science
TestData/Computer Science/L_1513_957.15.txt - 5 - Artificial Intelligence  | Computer Science | Artificial Intelligence
TestData/Computer Science/L_1513_957.15.txt - 7 - Artificial Intelligence  | Computer Science | Artificial Intelligence
TestData/Computer Science/L_1513_957.15.txt - Artificial Intelligence | Computer Science | Artificial Intelligence
TestData/Biology/1-s2.0-S0092867412003510-main.txt - 1 - ChemistryBiology  | Biology | ChemistryBiology
TestData/Biology/1-s2.0-S0092867412003510-main.txt - 3 - ChemistryBiology  | Biology | ChemistryBiology
TestData/Biology/1-s2.0-S0092867412003510-main.txt - 5 - ChemistryBiology  | Biology | ChemistryBiology
TestData/Biology/1-s2.0-S0092867412003510-main.txt - 7 - ChemistryBiology  | Biology | ChemistryBiology
TestData/Biology/1-s2.0-S0092867412003510-main.txt - Biology | Biology | Biology
TestData/Biology/1-s2.0-S0092867410000759-main.txt - 1 - ChemistryBiology  | Biology | ChemistryBiology
TestData/Biology/1-s2.0-S0092867410000759-main.txt - 3 - ChemistryBiology  | Biology | ChemistryBiology
TestData/Biology/1-s2.0-S0092867410000759-main.txt - 5 - ChemistryBiology  | Biology | ChemistryBiology
TestData/Biology/1-s2.0-S0092867410000759-main.txt - 7 - ChemistryBiology  | Biology | ChemistryBiology
TestData/Biology/1-s2.0-S0092867410000759-main.txt - Biology | Biology | Biology
TestData/Biology/Mol Biol Evol-2015-Jha-molbev_msv136.txt - 1 - Chemistry  | Biology | Chemistry
TestData/Biology/Mol Biol Evol-2015-Jha-molbev_msv136.txt - 3 - Biology  | Biology | Biology
TestData/Biology/Mol Biol Evol-2015-Jha-molbev_msv136.txt - 5 - Biology  | Biology | Biology
TestData/Biology/Mol Biol Evol-2015-Jha-molbev_msv136.txt - 7 - Biology  | Biology | Biology
TestData/Biology/Mol Biol Evol-2015-Jha-molbev_msv136.txt - Biology | Biology | Biology
TestData/Biology/f_5102-MBI-The-Effect-of-Perfluorooctane-Sulfonate-Exposure-Time-and-Chemical-M.pdf_6826.txt - 1 - Chemistry  | Biology | Chemistry
TestData/Biology/f_5102-MBI-The-Effect-of-Perfluorooctane-Sulfonate-Exposure-Time-and-Chemical-M.pdf_6826.txt - 3 - Chemistry  | Biology | Chemistry
TestData/Biology/f_5102-MBI-The-Effect-of-Perfluorooctane-Sulfonate-Exposure-Time-and-Chemical-M.pdf_6826.txt - 5 - Chemistry  | Biology | Chemistry
TestData/Biology/f_5102-MBI-The-Effect-of-Perfluorooctane-Sulfonate-Exposure-Time-and-Chemical-M.pdf_6826.txt - 7 - Chemistry  | Biology | Chemistry
TestData/Biology/f_5102-MBI-The-Effect-of-Perfluorooctane-Sulfonate-Exposure-Time-and-Chemical-M.pdf_6826.txt - Biology | Biology | Biology
TestData/Biology/1-s2.0-S0092867410000632-main.txt - 1 - ChemistryBiology  | Biology | ChemistryBiology
TestData/Biology/1-s2.0-S0092867410000632-main.txt - 3 - ChemistryBiology  | Biology | ChemistryBiology
TestData/Biology/1-s2.0-S0092867410000632-main.txt - 5 - ChemistryBiology  | Biology | ChemistryBiology
TestData/Biology/1-s2.0-S0092867410000632-main.txt - 7 - Biology  | Biology | Biology
TestData/Biology/1-s2.0-S0092867410000632-main.txt - Biology | Biology | Biology
TestData/Biology/1-s2.0-S0092867410000607-main.txt - 1 - Biology  | Biology | Biology
TestData/Biology/1-s2.0-S0092867410000607-main.txt - 3 - ChemistryBiology  | Biology | ChemistryBiology
TestData/Biology/1-s2.0-S0092867410000607-main.txt - 5 - ChemistryBiology  | Biology | ChemistryBiology
TestData/Biology/1-s2.0-S0092867410000607-main.txt - 7 - Biology  | Biology | Biology
TestData/Biology/1-s2.0-S0092867410000607-main.txt - Biology | Biology | Biology
TestData/Machine Learning/sugiyama06a.txt - 1 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/sugiyama06a.txt - 3 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/sugiyama06a.txt - 5 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/sugiyama06a.txt - 7 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/sugiyama06a.txt - Machine Learning | Machine Learning | Machine Learning
TestData/Machine Learning/allwein00a.txt - 1 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/allwein00a.txt - 3 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/allwein00a.txt - 5 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/allwein00a.txt - 7 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/allwein00a.txt - Machine Learning | Machine Learning | Machine Learning
TestData/Machine Learning/herbrich01a.txt - 1 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/herbrich01a.txt - 3 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/herbrich01a.txt - 5 - Machine Learning  | Machine Learning | Machine Learning
